t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3
2820,-6823205.2,8747.9931,-96877.984,108.91781,1064.2373,-7571.8937,715518.01,949985.09,-6755920,7565.7691,-104.95122,784.86191,6657678.1,-204645.04,1489897.7,-1687.7979,-1038.9602,7383.961
2880,-6801249.6,72534.328,-550628.36,622.65631,1061.1724,-7547.3989,1167550,941594.96,-6693896.7,7496.4152,-174.61831,1281.8264,6541451.7,-266473.58,1929225.2,-2184.9427,-1021.2157,7254.7616
2940,-6748543.6,135992.72,-1001881.1,1133.5392,1053.3101,-7488.6729,1614425.3,929046.12,-6602213,7393.939,-243.52442,1773.1839,6395684.3,-327098.74,2359812.2,-2672.1231,-998.86329,7092.7223
3000,-6665328.9,198836.32,-1448589.9,1639.2253,1040.6876,-7395.9932,2054168.8,912393.23,-6481269.6,7258.7728,-311.37028,2256.7933,6221040.6,-386247.09,2779710.2,-3147.1188,-972.00729,6898.6002
3060,-6551986.8,260781.19,-1888729.9,2137.4,1023.3642,-7269.7976,2484835.5,891708.8,-6331595,7091.4865,-377.8606,2730.5425,6018316.9,-443652.03,3187020.6,-3607.77,-940.77262,6673.3009
3120,-6409036.7,321547.62,-2320307.1,2625.787,1001.4214,-7110.6807,2904518.8,867082.88,-6153843.3,6892.786,-442.70519,3192.3571,5788436.9,-499055.11,3579903.6,-4051.9886,-905.30427,6417.8732
3180,-6237132.7,380861.42,-2741368,3102.1598,974.96231,-6919.3911,3311358.3,838622.77,-5948791.5,6663.5119,-505.62015,3640.2082,5532447.2,-552207.14,3956586.4,-4477.7669,-865.7665,6133.5034
3240,-6037061.1,438455.23,-3150008.4,3564.3524,944.11059,-6696.8263,3703548.1,806452.59,-5717337.1,6404.6366,-566.32896,4072.121,5251512.1,-602869.34,4315371.4,-4883.1877,-822.34184,5821.508
3300,-5809736,494069.71,-3544382.4,4010.2698,909.01024,-6444.0275,4079344.6,770712.79,-5460494,6117.2618,-624.56366,4486.1826,4946908.2,-650814.41,4654643.6,-5266.4323,-775.23012,5483.3271
3360,-5556194.6,547454.74,-3922710.5,4437.898,869.82447,-6162.1736,4437074,731559.61,-5179389.1,5802.6154,-680.06602,4880.5507,4620018.1,-695827.53,4972878,-5625.7882,-724.64738,5120.5161
